times,volumes,pressures
0.0,3.060316157565706e-06,1.0
0.1,3.0603165585469862e-06,0.9999998689739207
0.2,3.0603165585469862e-06,0.9999998689739207
0.3,3.0603165585469862e-06,0.9999998689739207
0.4,3.0603165585469862e-06,0.9999998689739207
0.5,3.0603165585469862e-06,0.9999998689739207
0.6,3.0603165585469862e-06,0.9999998689739207
0.7,3.0603165585469862e-06,0.9999998689739207
0.8,3.0603165585469862e-06,0.9999998689739207
0.9,3.0603165585469862e-06,0.9999998689739207
1.0,3.0603165585469862e-06,0.9999998689739207
1.1,3.0484463742466808e-06,1.0038937156380054
1.2,3.036609921788144e-06,1.00780680969507
1.3,3.0248071560467833e-06,1.0117392612775125
1.4,3.0130380249355382e-06,1.015691183529348
1.5,3.0013024746387093e-06,1.01966269092358
1.6,2.9896004498361947e-06,1.023653899213651
1.7,2.9779318936913393e-06,1.0276649254635055
1.8,2.966296747839026e-06,1.0316958880783502
1.9,2.9546949523732673e-06,1.0357469068363898
2.0,2.9431264458349262e-06,1.0398181029213425
2.1,2.9315911651991455e-06,1.0439095989559022
2.2,2.920089045862646e-06,1.0480215190361204
2.3,2.9086200216309846e-06,1.0521539887666933
2.4,2.897184024705424e-06,1.0563071352973061
2.5,2.8857809856698874e-06,1.060481087359893
2.6,2.8744108334775815e-06,1.0646759753069843
2.7,2.86307349543747e-06,1.0688919311511065
2.8,2.8517688972005652e-06,1.0731290886052727
2.9,2.84049696274607e-06,1.0773875831245827
3.0,2.8292576143672057e-06,1.0816675519490222
3.1,2.8180507726569646e-06,1.0859691341474038
3.2,2.806876356493561e-06,1.090292470662566
3.3,2.7957342830256754e-06,1.0946377043578288
3.4,2.7846244676574554e-06,1.0990049800647532
3.5,2.77354682403326e-06,1.103394444632245
3.6,2.7625012640222327e-06,1.1078062469770065
3.7,2.751487697702494e-06,1.112240538135455
3.8,2.7422597347613774e-06,1.1159833325678776
3.9,2.7422597347613774e-06,1.1159833325678776
4.0,2.7422597347613774e-06,1.1159833325678776
4.1,2.7422597347613774e-06,1.1159833325678776
4.2,2.7422597347613774e-06,1.1159833325678776
4.3,2.7422597347613774e-06,1.1159833325678776
4.4,2.7422597347613774e-06,1.1159833325678776
4.5,2.7422597347613774e-06,1.1159833325678776
4.6,2.7422597347613774e-06,1.1159833325678776
4.7,2.7422597347613774e-06,1.1159833325678776
4.8,2.7422597347613774e-06,1.1159833325678776
4.9,2.7422597347613774e-06,1.1159833325678776
5.0,2.7422597347613774e-06,1.1159833325678776
5.1,2.7422597347613774e-06,1.1159833325678776
5.2,2.7422597347613774e-06,1.1159833325678776
5.3,2.7422597347613774e-06,1.1159833325678776
5.4,2.7422597347613774e-06,1.1159833325678776
5.5,2.7422597347613774e-06,1.1159833325678776
5.6,2.7422597347613774e-06,1.1159833325678776
5.7,2.7422597347613774e-06,1.1159833325678776
5.8,2.7422597347613774e-06,1.1159833325678776
5.9,2.7422597347613774e-06,1.1159833325678776
6.0,2.7422597347613774e-06,1.1159833325678776
6.1,2.7422597347613774e-06,1.1159833325678776
6.2,2.7422597347613774e-06,1.1159833325678776
6.3,2.7422597347613774e-06,1.1159833325678776
6.4,2.7422597347613774e-06,1.1159833325678776
6.5,2.7422597347613774e-06,1.1159833325678776
6.6,2.7422597347613774e-06,1.1159833325678776
6.7,2.7422597347613774e-06,1.1159833325678776
6.8,2.7422597347613774e-06,1.1159833325678776
6.9,2.7422597347613774e-06,1.1159833325678776
7.0,2.7422597347613774e-06,1.1159833325678776
7.1,2.7422597347613774e-06,1.1159833325678776
7.2,2.7422597347613774e-06,1.1159833325678776
7.3,2.7422597347613774e-06,1.1159833325678776
7.4,2.7422597347613774e-06,1.1159833325678776
7.5,2.7422597347613774e-06,1.1159833325678776
7.6,2.7422597347613774e-06,1.1159833325678776
7.7,2.7422597347613774e-06,1.1159833325678776
7.8,2.7422597347613774e-06,1.1159833325678776
7.9,2.7422597347613774e-06,1.1159833325678776
8.0,2.7422597347613774e-06,1.1159833325678776
8.1,2.7422597347613774e-06,1.1159833325678776
8.2,2.7422597347613774e-06,1.1159833325678776
8.3,2.7422597347613774e-06,1.1159833325678776
8.4,2.7422597347613774e-06,1.1159833325678776
8.5,2.7422597347613774e-06,1.1159833325678776
8.6,2.7422597347613774e-06,1.1159833325678776
8.7,2.7422597347613774e-06,1.1159833325678776
8.8,2.7422597347613774e-06,1.1159833325678776
8.9,2.7422597347613774e-06,1.1159833325678776
9.0,2.7422597347613774e-06,1.1159833325678776
9.1,2.7422597347613774e-06,1.1159833325678776
9.2,2.7422597347613774e-06,1.1159833325678776
9.3,2.7422597347613774e-06,1.1159833325678776
9.4,2.7422597347613774e-06,1.1159833325678776
9.5,2.7422597347613774e-06,1.1159833325678776
9.6,2.7422597347613774e-06,1.1159833325678776
9.7,2.7422597347613774e-06,1.1159833325678776
9.8,2.7422597347613774e-06,1.1159833325678776
9.9,2.7422597347613774e-06,1.1159833325678776
10.0,2.7422597347613774e-06,1.1159833325678776
10.1,2.7422597347613774e-06,1.1159833325678776
10.2,2.7422597347613774e-06,1.1159833325678776
10.3,2.7422597347613774e-06,1.1159833325678776
10.4,2.7422597347613774e-06,1.1159833325678776
10.5,2.7422597347613774e-06,1.1159833325678776
10.6,2.7422597347613774e-06,1.1159833325678776
10.7,2.7422597347613774e-06,1.1159833325678776
10.8,2.7422597347613774e-06,1.1159833325678776
10.9,2.7422597347613774e-06,1.1159833325678776
11.0,2.7422597347613774e-06,1.1159833325678776
11.1,2.7422597347613774e-06,1.1159833325678776
11.2,2.7422597347613774e-06,1.1159833325678776
11.3,2.7422597347613774e-06,1.1159833325678776
11.4,2.7422597347613774e-06,1.1159833325678776
11.5,2.7422597347613774e-06,1.1159833325678776
11.6,2.7422597347613774e-06,1.1159833325678776
11.7,2.7422597347613774e-06,1.1159833325678776
11.8,2.7422597347613774e-06,1.1159833325678776
11.9,2.7422597347613774e-06,1.1159833325678776
12.0,2.7422597347613774e-06,1.1159833325678776
12.1,2.7422597347613774e-06,1.1159833325678776
12.2,2.7422597347613774e-06,1.1159833325678776
12.3,2.7422597347613774e-06,1.1159833325678776
12.4,2.7422597347613774e-06,1.1159833325678776
12.5,2.7422597347613774e-06,1.1159833325678776
12.6,2.7422597347613774e-06,1.1159833325678776
12.7,2.7422597347613774e-06,1.1159833325678776
12.8,2.7422597347613774e-06,1.1159833325678776
12.9,2.7422597347613774e-06,1.1159833325678776
13.0,2.7422597347613774e-06,1.1159833325678776
13.1,2.7422597347613774e-06,1.1159833325678776
13.2,2.7422597347613774e-06,1.1159833325678776
13.3,2.7422597347613774e-06,1.1159833325678776
13.4,2.7422597347613774e-06,1.1159833325678776
13.5,2.7422597347613774e-06,1.1159833325678776
13.6,2.7422597347613774e-06,1.1159833325678776
13.7,2.7422597347613774e-06,1.1159833325678776
13.8,2.74401886526439e-06,1.115267900051715
13.9,2.7550085637000343e-06,1.1108191088363215
14.0,2.7660323578802115e-06,1.106392030753763
14.1,2.7770881749498417e-06,1.101987392827734
14.2,2.788176104028647e-06,1.0976050447975085
14.3,2.7992962326776936e-06,1.0932448384136648
14.4,2.810448646687793e-06,1.0889066274782817
14.5,2.8216334300949263e-06,1.0845902677949026
14.6,2.832850665195345e-06,1.0802956171198934
14.7,2.8441004325604905e-06,1.0760225351151051
14.8,2.8553828110517235e-06,1.0717708833018083
14.9,2.8666978778347686e-06,1.0675405250159038
15.0,2.8780457083939364e-06,1.0633313253643506
15.1,2.8894263765461454e-06,1.059143151182773
15.2,2.900839954454801e-06,1.054975870994192
15.3,2.912286512643407e-06,1.0508293549689025
15.4,2.923766120009055e-06,1.0467034748854085
15.5,2.9352788438356663e-06,1.042598104092437
15.6,2.9468247498071294e-06,1.0385131174719517
15.7,2.9584039020202164e-06,1.0344483914031808
15.8,2.9700163629973866e-06,1.0304038037275955
15.9,2.9816621936994207e-06,1.0263792337148352
16.0,2.993341453537908e-06,1.0223745620295468
16.1,3.0050542003874923e-06,1.0183896706991467
16.2,3.0168004905982187e-06,1.014424443082366
16.3,3.0285803790075244e-06,1.0104787638387136
16.4,3.0403939189521488e-06,1.006552518898743
16.5,3.0522411622800128e-06,1.0026455954350806
16.6,3.0603165597981144e-06,0.9999998685650976
16.7,3.0603165597981144e-06,0.9999998685650976
16.8,3.0603165597981144e-06,0.9999998685650976
16.9,3.0603165597981144e-06,0.9999998685650976
17.0,3.0603165597981144e-06,0.9999998685650976
17.1,3.0603165597981144e-06,0.9999998685650976
17.2,3.0603165597981144e-06,0.9999998685650976
17.3,3.0603165597981144e-06,0.9999998685650976
17.4,3.0603165597981144e-06,0.9999998685650976
17.5,3.0603165597981144e-06,0.9999998685650976
