time_s,pressure_atm,force_N,position_mm
0.0,0.0014814722362521088,-0.001981001233169173,-0.01
0.010000000000001563,0.0014783890192122608,0.0034565577160770087,-0.01
0.019999999999999574,0.0014754086470545483,0.008041042033617581,-0.01
0.030000000000001137,0.0014726376747789649,0.011420459949711146,-0.01
0.03999999999999915,0.0014701665566580976,0.013365856050911088,-0.01
0.05000000000000071,0.0014680624141062137,0.013780519417347595,-0.01
0.05999999999999872,0.0014663641037937693,0.012700594227972142,-0.01
0.07000000000000028,0.00146508027233078,0.010286100566892813,-0.01
0.0799999999999983,0.0014641907214234477,0.00680238598770151,-0.01
0.08999999999999986,0.0014636508731923983,0.0025935502621989514,-0.01
0.10000000000000142,0.0014633985588506922,-0.0019495528439502573,-0.01
0.10999999999999943,0.0014633619405734972,-0.006423961454097858,-0.01
0.11999999999999922,0.0014634672557531402,-0.010449424860214834,-0.01
0.13000000000000078,0.001463645281086536,-0.01370111183574877,-0.01
0.14000000000000057,0.0014638358787025937,-0.01593773209226135,-0.01
0.15000000000000036,0.0014639905496084298,-0.017022066383570244,-0.02
0.16000000000000014,0.0014640733916109665,-0.01693051075051956,-0.01
0.16999999999999993,0.0014640610940518323,-0.01574889085935883,-0.02
0.17999999999999972,0.0014639425478618364,-0.013653942488556227,-0.02
0.1899999999999995,0.001463718358920009,-0.010882718558999999,-0.02
0.1999999999999993,0.0014634001687965808,-0.007694692309377876,-0.02
0.21000000000000085,0.0014630093928078808,-0.004333106821314457,-0.02
0.22000000000000064,0.0014625749270776275,-0.0009927846345951679,-0.02
0.23000000000000043,0.0014621296078173838,0.002199686838060715,-0.03
0.2400000000000002,0.0014617056660113392,0.005190733922914152,-0.02
0.25,0.0014613299385723428,0.007990644521149,-0.03
0.2599999999999998,0.0014610199522850896,0.010654396142537844,-0.03
0.2699999999999996,0.0014607820148730332,0.01325783338636631,-0.03
0.27999999999999936,0.0014606120681918092,0.015874689211877267,-0.03
0.28999999999999915,0.001460499361972083,0.018558632471172593,-0.04
0.3000000000000007,0.0014604322034635641,0.021332341416401307,-0.03
0.3100000000000005,0.0014604043969031772,0.024183743404498675,-0.04
0.3200000000000003,0.001460420717037571,0.027068540030743347,-0.04
