,sim_times_s,volumes_cm3,i_poke
0,0.018333333333333333,3.888646006089402e-06,0
1,0.02,4.173145498498343e-06,0
2,0.021666666666666667,4.03955118599697e-06,0
3,0.023333333333333334,4.094130872545065e-06,0
4,0.025,4.074088792549446e-06,0
5,0.02666666666666667,4.0843692659109365e-06,0
6,0.028333333333333335,4.076364348293282e-06,0
7,0.030000000000000002,4.0799873204377946e-06,0
8,0.03166666666666667,4.0812615225149784e-06,0
9,0.03333333333333333,4.079341124452185e-06,0
10,0.034999999999999996,4.079059635841986e-06,0
11,0.03666666666666666,4.080502549186349e-06,0
12,0.03833333333333332,4.079609880136559e-06,0
13,0.03999999999999999,4.079710834048456e-06,0
14,0.04166666666666665,4.079545306012733e-06,0
15,0.043333333333333314,4.080351573065855e-06,0
16,0.04499999999999998,4.079551672475645e-06,0
17,0.04666666666666664,4.0795798668114e-06,0
18,0.048333333333333305,4.0801196519169025e-06,0
19,0.04999999999999997,4.0798554437060375e-06,0
20,0.05166666666666663,4.079575319337891e-06,0
21,0.053333333333333295,4.079822247149423e-06,0
22,0.05499999999999996,4.079990503669251e-06,0
23,0.05666666666666662,4.079766767972615e-06,0
24,0.058333333333333286,4.079674454260385e-06,0
25,0.05999999999999995,4.079889549757354e-06,0
26,0.06166666666666661,4.079880909557687e-06,0
27,0.06333333333333328,4.079737209394807e-06,0
28,0.06499999999999995,4.07977995564579e-06,0
29,0.06666666666666661,4.079870450368617e-06,0
30,0.06833333333333327,4.079829523107037e-06,0
31,0.06999999999999994,4.079771770193474e-06,0
32,0.0716666666666666,4.079822701896774e-06,0
33,0.07333333333333326,4.079835889569949e-06,0
34,0.07499999999999993,4.0797872316034045e-06,0
35,0.07666666666666659,4.079802693013335e-06,0
36,0.07833333333333325,4.079821337654721e-06,0
37,0.07999999999999992,4.079818154423265e-06,0
38,0.08166666666666658,4.0797995097818784e-06,0
39,0.08333333333333325,4.079822247149423e-06,0
40,0.08499999999999991,4.079813152202405e-06,0
41,0.08666666666666657,4.079817244928563e-06,0
42,0.08833333333333324,4.079808604728896e-06,0
43,0.0899999999999999,4.079818609170616e-06,0
44,0.09166666666666656,4.079806330992142e-06,0
45,0.09333333333333323,4.07980542149744e-06,0
46,0.09499999999999989,4.079818609170616e-06,0
47,0.09666666666666655,4.079837253812002e-06,0
48,0.09833333333333322,4.07982588512823e-06,0
49,0.09999999999999988,4.079824066138826e-06,0
50,0.10166666666666654,4.079813152202405e-06,0
51,0.10333333333333321,4.0798190639179666e-06,0
