,sim_times_s,volumes_cm3,i_poke
0,0.018333333333333333,3.851382643915713e-06,0
1,0.02,4.158637239015661e-06,0
2,0.021666666666666667,4.016817001684103e-06,0
3,0.023333333333333334,4.072477167937905e-06,0
4,0.025,4.052269105159212e-06,0
5,0.02666666666666667,4.0623758650326636e-06,0
6,0.028333333333333335,4.0557792999607045e-06,0
7,0.030000000000000002,4.0579502638138365e-06,0
8,0.03166666666666667,4.059186721860897e-06,0
9,0.03333333333333333,4.058544163854094e-06,0
10,0.034999999999999996,4.05719265472726e-06,0
11,0.03666666666666666,4.058661943417974e-06,0
12,0.03833333333333332,4.0586510294815525e-06,0
13,0.03999999999999999,4.057862497575115e-06,0
14,0.04166666666666665,4.057662863488076e-06,0
15,0.043333333333333314,4.058405920659425e-06,0
16,0.04499999999999998,4.058040758536663e-06,0
17,0.04666666666666664,4.0574295780970715e-06,0
18,0.048333333333333305,4.057968453707872e-06,0
19,0.04999999999999997,4.058107151649892e-06,0
20,0.05166666666666663,4.057619207742391e-06,0
21,0.053333333333333295,4.057283149450086e-06,0
22,0.05499999999999996,4.057304067828227e-06,0
23,0.05666666666666662,4.057010301039554e-06,0
24,0.058333333333333286,4.056563739140984e-06,0
25,0.05999999999999995,4.056405941810226e-06,0
26,0.06166666666666661,4.056577836308861e-06,0
27,0.06333333333333328,4.056415036757244e-06,0
28,0.06499999999999995,4.055969384353375e-06,0
29,0.06666666666666661,4.055689259985229e-06,0
30,0.06833333333333327,4.055400950164767e-06,0
31,0.06999999999999994,4.0549944060330745e-06,0
32,0.0716666666666666,4.054641522088787e-06,0
33,0.07333333333333326,4.054548298881855e-06,0
34,0.07499999999999993,4.054419605381554e-06,0
35,0.07666666666666659,4.0539530345995445e-06,0
36,0.07833333333333325,4.053635166201275e-06,0
37,0.07999999999999992,4.053266366099706e-06,0
38,0.08166666666666658,4.052913936902769e-06,0
39,0.08333333333333325,4.0525310396333225e-06,0
40,0.08499999999999991,4.052205440530088e-06,0
41,0.08666666666666657,4.051865744258976e-06,0
42,0.08833333333333324,4.051370979141211e-06,0
43,0.0899999999999999,4.051082214573398e-06,0
44,0.09166666666666656,4.050640200148337e-06,0
45,0.09333333333333323,4.0502800402464345e-06,0
46,0.09499999999999989,4.049868039146531e-06,0
47,0.09666666666666655,4.049478320666822e-06,0
48,0.09833333333333322,4.049090875923866e-06,0
49,0.09999999999999988,4.048633400088875e-06,0
50,0.10166666666666654,4.048267783218762e-06,0
51,0.10333333333333321,4.04783577323542e-06,0
52,0.10499999999999987,4.0474160414305516e-06,0
53,0.10666666666666653,4.047025868203491e-06,0
54,0.1083333333333332,4.046612502861535e-06,0
55,0.10999999999999986,4.046262347401353e-06,0
56,0.11166666666666653,4.045824425702449e-06,0
57,0.11333333333333319,4.045441073685652e-06,0
58,0.11499999999999985,4.044989964313572e-06,0
59,0.11666666666666652,4.0445966078550555e-06,0
60,0.11833333333333318,4.0441600503982045e-06,0
61,0.11999999999999984,4.043700755573809e-06,0
62,0.1216666666666665,4.043261469632853e-06,0
63,0.12333333333333317,4.042928139824653e-06,0
64,0.12499999999999983,4.042446107632713e-06,0
65,0.1266666666666665,4.042056843900355e-06,0
66,0.1283333333333332,4.041526608489221e-06,0
67,0.12999999999999987,4.041293777845567e-06,0
68,0.13166666666666654,4.040741714561591e-06,0
69,0.13333333333333322,4.040391559101408e-06,0
70,0.1349999999999999,4.039816758449888e-06,0
71,0.13666666666666658,4.039613031636691e-06,0
72,0.13833333333333325,4.038931820105063e-06,0
73,0.13999999999999993,4.03862759412732e-06,0
74,0.1416666666666666,4.03822741645854e-06,0
75,0.14333333333333328,4.0377276491199154e-06,0
76,0.14499999999999996,4.037858616356971e-06,0
77,0.14666666666666664,4.037772214360302e-06,0
78,0.14833333333333332,4.037792223243741e-06,0
79,0.15,4.037810413137777e-06,0
80,0.15166666666666667,4.037653525301721e-06,0
81,0.15333333333333335,4.037841335957637e-06,0
82,0.15500000000000003,4.0377917684963904e-06,0
83,0.1566666666666667,4.0377876757702325e-06,0
84,0.15833333333333338,4.037829967273865e-06,0
85,0.16000000000000006,4.037691724079195e-06,0
86,0.16166666666666674,4.037805865664268e-06,0
87,0.1633333333333334,4.037804501422215e-06,0
88,0.1650000000000001,4.037820872326847e-06,0
89,0.16666666666666677,4.037819053337444e-06,0
90,0.16833333333333345,4.037762209918583e-06,0
91,0.17000000000000012,4.037865892314585e-06,0
92,0.1716666666666668,4.03775038648746e-06,0
93,0.17333333333333348,4.037833150505321e-06,0
