,sim_times_s,volumes_cm3,i_poke
0,0.018333333333333333,3.888648279826157e-06,0
1,0.02,4.173144589003641e-06,0
2,0.021666666666666667,4.039543455292005e-06,0
3,0.023333333333333334,4.094114956387784e-06,0
4,0.025,4.07410107072792e-06,0
5,0.02666666666666667,4.084366992174182e-06,0
6,0.028333333333333335,4.076361619809177e-06,0
7,0.030000000000000002,4.0799836824589875e-06,0
8,0.03166666666666667,4.081266524735838e-06,0
9,0.03333333333333333,4.079332938999869e-06,0
10,0.034999999999999996,4.079059181094635e-06,0
11,0.03666666666666666,4.080480721313506e-06,0
12,0.03833333333333332,4.0796030589262955e-06,0
13,0.03999999999999999,4.079709924553754e-06,0
14,0.04166666666666665,4.07954394177068e-06,0
15,0.043333333333333314,4.080341113876784e-06,0
16,0.04499999999999998,4.079541213286575e-06,0
17,0.04666666666666664,4.079578502569348e-06,0
18,0.048333333333333305,4.080116923432797e-06,0
19,0.04999999999999997,4.079852260474581e-06,0
20,0.05166666666666663,4.079578047821997e-06,0
21,0.053333333333333295,4.079826794622932e-06,0
22,0.05499999999999996,4.079984137206338e-06,0
23,0.05666666666666662,4.079757218278246e-06,0
24,0.058333333333333286,4.079673999513034e-06,0
25,0.05999999999999995,4.07989273298881e-06,0
26,0.06166666666666661,4.079889095010003e-06,0
27,0.06333333333333328,4.079719928995473e-06,0
28,0.06499999999999995,4.079765858477913e-06,0
29,0.06666666666666661,4.079873633600073e-06,0
30,0.06833333333333327,4.079831796843791e-06,0
31,0.06999999999999994,4.079758127772948e-06,0
32,0.0716666666666666,4.079822701896774e-06,0
33,0.07333333333333326,4.079849986737827e-06,0
34,0.07499999999999993,4.079791779076913e-06,0
35,0.07666666666666659,4.0798072404868435e-06,0
36,0.07833333333333325,4.0798272493702825e-06,0
37,0.07999999999999992,4.079822247149423e-06,0
38,0.08166666666666658,4.079798600287177e-06,0
39,0.08333333333333325,4.079832706338493e-06,0
40,0.08499999999999991,4.079800874023931e-06,0
41,0.08666666666666657,4.079807695234194e-06,0
42,0.08833333333333324,4.079720838490175e-06,0
43,0.0899999999999999,4.079656264366349e-06,0
44,0.09166666666666656,4.079570317117032e-06,0
45,0.09333333333333323,4.079551672475645e-06,0
46,0.09499999999999989,4.079524842381943e-06,0
47,0.09666666666666655,4.079575319337891e-06,0
48,0.09833333333333322,4.079546215507435e-06,0
49,0.09999999999999988,4.079498012288241e-06,0
50,0.10166666666666654,4.079095106135355e-06,0
51,0.10333333333333321,4.078819983988069e-06,0
52,0.10499999999999987,4.078495294379536e-06,0
53,0.10666666666666653,4.0783452277537435e-06,0
54,0.1083333333333332,4.0782410906103905e-06,0
55,0.10999999999999986,4.078283382114023e-06,0
56,0.11166666666666653,4.078267920704093e-06,0
57,0.11333333333333319,4.077895027876366e-06,0
58,0.11499999999999985,4.077290668647038e-06,0
59,0.11666666666666652,4.076836830790853e-06,0
60,0.11833333333333318,4.0763907236396335e-06,0
61,0.11999999999999984,4.076145160070155e-06,0
62,0.1216666666666665,4.075928700331133e-06,0
63,0.12333333333333317,4.075967353855958e-06,0
64,0.12499999999999983,4.0755257941782475e-06,0
65,0.1266666666666665,4.075089691468747e-06,0
66,0.1283333333333332,4.074591743119527e-06,0
67,0.12999999999999987,4.07408560931799e-06,0
68,0.13166666666666654,4.07361358156777e-06,0
69,0.13333333333333322,4.0732384150032885e-06,0
70,0.1349999999999999,4.072960109624546e-06,0
71,0.13666666666666658,4.072956471645739e-06,0
72,0.13833333333333325,4.072771844221279e-06,0
73,0.13999999999999993,4.072102001373423e-06,0
74,0.1416666666666666,4.071878720424138e-06,0
75,0.14333333333333328,4.071422608831199e-06,0
76,0.14499999999999996,4.070480372320162e-06,0
77,0.14666666666666664,4.070332124683773e-06,0
78,0.14833333333333332,4.070091108587803e-06,0
79,0.15,4.068932412337745e-06,0
80,0.15166666666666667,4.0690529203857295e-06,0
81,0.15333333333333335,4.068371254106751e-06,0
82,0.15500000000000003,4.0681038626644295e-06,0
83,0.1566666666666667,4.0673830881132744e-06,0
84,0.15833333333333338,4.06711387768155e-06,0
85,0.16000000000000006,4.06689878218458e-06,0
86,0.16166666666666674,4.0663817344466224e-06,0
87,0.1633333333333334,4.0659929254616145e-06,0
88,0.1650000000000001,4.065559096488869e-06,0
89,0.16666666666666677,4.064838321937714e-06,0
90,0.16833333333333345,4.064529093739111e-06,0
